name,release_date,image,songs,notes,artist,genre,price
Got To Be There / Maria (You Were The Only One),1971,https://i.discogs.com/uAQZgi-FzT_E5Kc3VivcL71ZEHQvSftekxDgVc3Yvnw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDM1/MTAtMTYzNzI3ODk1/My0yNzgxLmpwZWc.jpeg,Got To Be There|Maria (You Were The Only One),"""Got to Be There"" is the debut solo single by Michael Jackson. Written by Elliot Willensky, it was released as a single on October 7th 1971. The song was produced by Hal Davis and recorded at Motown's Hitsville West studios in Hollywood. ",Michael Jackson,"[""Funk / Soul"", ""Pop""]",0.25
Maria (You Were The Only One),1971,https://i.discogs.com/ikMJzy6hhHXSPnxYAXLtrJfWCPWVNfXlwEWX8xM9PP4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0Nzgx/NzQtMTM5NDM4Nzc1/NS0yMzYxLmpwZWc.jpeg,Maria (You Were The Only One)|Got To Be There,,Michael Jackson,"[""Funk / Soul"", ""Pop""]",7.56
Ain’t No Sunshine,1971,https://i.discogs.com/nvlIpLEyimSvgvLyeZNsSK4uGoiZUjBqE04H_6Tc5J0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1NjIx/MjM0LTE1OTQ2OTI0/OTEtNzYxOS5qcGVn.jpeg,Ain’t No Sunshine|Wings Of My Love,,Michael Jackson,"[""Funk / Soul""]",1.17
Rockin' Robin,1972,https://i.discogs.com/sHmunnRnKyVIuGzSe4EpvRRfSMsoDMcj5nnx10r7UV8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzMzQ3/NDAtMTI3NzcyODE2/MS5qcGVn.jpeg,Rockin' Robin|Love Is Here And Now You're Gone,,Michael Jackson,"[""Funk / Soul""]",0.1

Fusion / Tribal Tek,2002,https://i.discogs.com/nJRF5BjIdiTVlsYMhf-e2_5uVW6PVNk2A9clOn_4ycY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM0MzMx/MC0xMTAwMjU0Njk2/LmpwZw.jpeg,Fusion|Tribal Tek,,Funksion,"[""Electronic""]",2.65
Afrika,1990,https://i.discogs.com/6mINkLOpPxAE_-KjGU3tuh9TfLuu_YC_IvXE0Sj7a5U/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNjU3/Ni0xMTgzNzg0NzIz/LmpwZWc.jpeg,Afrika (Love And Laughter Mix)|Afrika (Louie Louie's Mix)|Afrika (Instrumental),,History Featuring Q-Tee,"[""Electronic"", ""Hip Hop""]",0.4
Free The People,1991,https://i.discogs.com/GuIDc33d8p9PqDU7kcqObax6fUMlV7siuO3bQg5CzqA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMwMzM2/NTItMTU0Njc3ODMx/My0xNzg3LmpwZWc.jpeg,Free The People|Free The People (Proctor Remix)|Free The People,,History Featuring Q-Tee,"[""Electronic""]",0.36
Filthy,1991,https://i.discogs.com/jDW-eByyUrlK1_-4ipDDll7JVLOHY2AA9C5Zhx5GmkA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg0ODMt/MTYzMzEwMDQzNi0z/NjAxLmpwZWc.jpeg,Filthy|Studio Kinda Filthy,,History Featuring Q-Tee,"[""Electronic"", ""Hip Hop"", ""Pop""]",6.98
Gimme That Body,1995,https://i.discogs.com/uPBU5l8fceiDOnyZJfrvF6irpuExxoLtOnKAQ0x5qmU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3NjI4/NzgtMTI0NzU2NDY1/My5qcGVn.jpeg,Gimme That Body (Radio Edit)|Gimme That Body (Extended Mix)|Gimme That Body (Accapella)|Gimme That Body (K.R. Phat Controller Mix)|Gimme That Body (Scientists Of Sound Vocal Mix)|Gimme That Body (Scientists Of Sound Instrumental Mix),,History Featuring Q-Tee,"[""Hip Hop"", ""Pop""]",0.67
